Fecha Local,Fecha UTC,Latitud,Longitud,Profundidad [Km],Magnitud,Referencia Geográfica
2022-01-22 17:03:58,2022-01-22 20:03:58,-22.629,-69.279,19.1,4.2 Ml, 30 km al N de Sierra Gorda.
2022-01-22 17:00:17,2022-01-22 20:00:17,-22.848,-68.655,101.0,4.7 Ml, 47 km al O de San Pedro de Atacama
2022-01-21 22:46:00,2022-01-22 01:46:00,-23.485,-68.218,135.2,3.5 Ml, 35 km al O de Socaire
2022-01-21 15:42:02,2022-01-21 18:42:02,-22.07,-67.869,235.0,3.1 Ml, 100 km al N de San Pedro de Atacama
2022-01-21 14:12:57,2022-01-21 17:12:57,-22.757,-68.83,94.7,2.7 Ml, 34 km al S de Calama
2022-01-21 11:55:49,2022-01-21 14:55:49,-22.571,-67.375,261.0,3.1 Ml, 93 km al NE de San Pedro de Atacama
2022-01-21 07:06:53,2022-01-21 10:06:53,-24.192,-67.371,239.5,3.3 Ml, 85 km al SE de Socaire
2022-01-20 23:52:41,2022-01-21 02:52:41,-22.454,-67.928,195.7,3.0 Ml, 59 km al NE de San Pedro de Atacama
2022-01-20 10:38:36,2022-01-20 13:38:36,-23.686,-67.141,247.5,3.5 Ml, 77 km al E de Socaire
2022-01-20 09:59:37,2022-01-20 12:59:37,-21.707,-68.526,124.6,2.8 Ml, 61 km al SO de Ollagüe
2022-01-20 06:59:20,2022-01-20 09:59:20,-23.954,-67.199,236.6,2.5 Ml, 81 km al SE de Socaire
2022-01-20 04:46:52,2022-01-20 07:46:52,-23.301,-69.177,89.3,2.8 Ml, 47 km al S de Sierra Gorda.
2022-01-20 03:48:58,2022-01-20 06:48:58,-23.965,-67.51,229.4,2.6 Ml, 57 km al SE de Socaire
2022-01-20 03:14:55,2022-01-20 06:14:55,-23.949,-67.283,233.9,2.9 Ml, 74 km al SE de Socaire
2022-01-20 01:48:38,2022-01-20 04:48:38,-21.889,-68.562,117.9,3.1 Ml, 75 km al NE de Calama
2022-01-20 00:50:34,2022-01-20 03:50:34,-22.627,-68.871,105.0,2.7 Ml, 18 km al S de Calama
2022-01-19 23:27:19,2022-01-20 02:27:19,-23.904,-67.385,248.0,3.1 Ml, 62 km al SE de Socaire
2022-01-19 22:28:20,2022-01-20 01:28:20,-22.48,-67.998,185.6,3.9 Ml, 53 km al NE de San Pedro de Atacama
2022-01-19 10:15:53,2022-01-19 13:15:53,-23.464,-70.803,30.2,3.9 Ml, 45 km al NO de Antofagasta
2022-01-19 09:47:21,2022-01-19 12:47:21,-24.311,-67.769,239.0,3.4 Ml, 81 km al S de Socaire
2022-01-19 07:13:30,2022-01-19 10:13:30,-24.036,-67.159,239.4,2.8 Ml, 89 km al SE de Socaire
2022-01-19 01:09:50,2022-01-19 04:09:50,-21.782,-70.182,65.8,3.2 Ml, 35 km al N de Tocopilla
2022-01-19 00:17:41,2022-01-19 03:17:41,-23.268,-68.669,109.0,2.6 Ml, 62 km al SO de San Pedro de Atacama
2022-01-19 00:13:08,2022-01-19 03:13:08,-23.832,-67.155,246.0,2.5 Ml, 80 km al E de Socaire
2022-01-18 23:41:50,2022-01-19 02:41:50,-24.493,-69.087,98.9,2.7 Ml, 25 km al S de Mina La Escondida.
2022-01-18 23:31:09,2022-01-19 02:31:09,-24.11,-67.587,240.7,3.0 Ml, 66 km al SE de Socaire
2022-01-18 23:19:36,2022-01-19 02:19:36,-22.492,-70.624,38.6,2.8 Ml, 62 km al SO de Tocopilla
2022-01-18 22:50:29,2022-01-19 01:50:29,-23.718,-67.149,244.4,3.9 Ml, 77 km al E de Socaire
2022-01-18 21:28:15,2022-01-19 00:28:15,-23.394,-68.443,129.5,2.9 Ml, 58 km al SO de San Pedro de Atacama
2022-01-18 19:53:17,2022-01-18 22:53:17,-23.974,-67.227,215.4,3.5 Ml, 80 km al SE de Socaire
2022-01-18 12:41:32,2022-01-18 15:41:32,-23.976,-67.473,212.9,3.2 Ml, 60 km al SE de Socaire
2022-01-18 10:51:53,2022-01-18 13:51:53,-21.884,-68.762,101.6,2.5 Ml, 67 km al N de Calama
2022-01-18 09:00:26,2022-01-18 12:00:26,-26.648,-70.942,15.0,2.7 Ml, 48 km al N de Caldera
